date,map
2021-10-03T17:00:00.000Z,Nepal
2021-10-03T17:05:00.000Z,Nepal
2021-10-03T17:10:00.000Z,Nepal
2021-10-03T17:15:00.000Z,Paris
2021-10-03T17:20:00.000Z,Horizon
2021-10-03T17:25:00.000Z,Eichenwalde
2021-10-03T17:30:00.000Z,Eichenwalde
2021-10-03T17:35:00.000Z,Volskaya
2021-10-03T17:40:00.000Z,Anubis
2021-10-03T17:45:00.000Z,Oasis
2021-10-03T17:50:00.000Z,Lijiang Tower
2021-10-03T17:55:00.000Z,Busan
2021-10-03T18:00:00.000Z,Kings Row
2021-10-03T18:05:00.000Z,Ilios
2021-10-03T18:10:00.000Z,Numbani
2021-10-03T18:15:00.000Z,Watchpoint
2021-10-03T18:20:00.000Z,Havana
2021-10-03T18:25:00.000Z,Havana
2021-10-03T18:30:00.000Z,Hollywood
2021-10-04T17:00:00.000Z,Nepal
2021-10-04T17:05:00.000Z,Paris
2021-10-04T17:10:00.000Z,Horizon
2021-10-04T17:15:00.000Z,Eichenwalde
2021-10-04T17:20:00.000Z,Volskaya
2021-10-04T17:25:00.000Z,Volskaya
2021-10-04T17:30:00.000Z,Anubis
2021-10-04T17:35:00.000Z,Anubis
2021-10-04T17:40:00.000Z,Oasis
2021-10-04T17:45:00.000Z,Lijiang Tower
2021-10-04T17:50:00.000Z,Route 66
2021-10-04T17:55:00.000Z,Busan
2021-10-04T18:00:00.000Z,Ilios
2021-10-04T18:05:00.000Z,Numbani
2021-10-04T18:10:00.000Z,Rialto
2021-10-04T18:15:00.000Z,Blizzard World
2021-10-04T18:20:00.000Z,Havana
2021-10-04T18:25:00.000Z,Dorado
2021-10-04T18:30:00.000Z,Dorado
2021-10-04T18:35:00.000Z,Junkertown
2021-10-04T21:00:00.000Z,Paris
2021-10-04T21:05:00.000Z,Lijiang Tower
2021-10-04T21:10:00.000Z,Ilios
2021-10-04T21:15:00.000Z,Watchpoint
2021-10-04T21:20:00.000Z,Rialto
2021-10-04T21:25:00.000Z,Blizzard World
2021-10-04T21:30:00.000Z,Hollywood
2021-10-06T19:00:00.000Z,Paris
2021-10-06T19:05:00.000Z,Eichenwalde
2021-10-06T19:10:00.000Z,Volskaya
2021-10-06T19:15:00.000Z,Oasis
2021-10-06T19:20:00.000Z,Lijiang Tower
2021-10-06T19:25:00.000Z,Hanamura
2021-10-06T19:30:00.000Z,Route 66
2021-10-06T19:35:00.000Z,Kings Row
2021-10-06T19:40:00.000Z,Numbani
2021-10-06T19:45:00.000Z,Dorado
2021-10-06T19:50:00.000Z,Junkertown
2021-10-08T17:00:00.000Z,Nepal
2021-10-08T17:05:00.000Z,Paris
2021-10-08T17:10:00.000Z,Eichenwalde
2021-10-08T17:15:00.000Z,Volskaya
2021-10-08T17:20:00.000Z,Anubis
2021-10-08T17:25:00.000Z,Oasis
2021-10-08T17:30:00.000Z,Lijiang Tower
2021-10-08T17:35:00.000Z,Numbani
2021-10-08T17:40:00.000Z,Watchpoint
2021-10-08T17:45:00.000Z,Rialto
2021-10-08T17:50:00.000Z,Dorado
2021-10-08T17:55:00.000Z,Hollywood
2021-10-09T11:30:00.000Z,Nepal
2021-10-09T11:35:00.000Z,Horizon
2021-10-09T11:40:00.000Z,Anubis
2021-10-09T11:45:00.000Z,Oasis
2021-10-09T11:50:00.000Z,Hanamura
2021-10-09T11:55:00.000Z,Route 66
2021-10-09T12:00:00.000Z,Kings Row
2021-10-09T12:05:00.000Z,Ilios
2021-10-09T12:10:00.000Z,Numbani
2021-10-09T12:15:00.000Z,Watchpoint
2021-10-09T12:20:00.000Z,Blizzard World
2021-10-09T12:25:00.000Z,Junkertown
2021-10-10T18:00:00.000Z,Nepal
2021-10-10T18:05:00.000Z,Paris
2021-10-10T18:10:00.000Z,Eichenwalde
2021-10-10T18:15:00.000Z,Volskaya
2021-10-10T18:20:00.000Z,Oasis
2021-10-10T18:25:00.000Z,Lijiang Tower
2021-10-10T18:30:00.000Z,Hanamura
2021-10-10T18:35:00.000Z,Route 66
2021-10-10T18:40:00.000Z,Busan
2021-10-10T18:45:00.000Z,Kings Row
2021-10-10T18:50:00.000Z,Ilios
2021-10-10T18:55:00.000Z,Numbani
2021-10-10T19:00:00.000Z,Numbani
2021-10-10T19:05:00.000Z,Rialto
2021-10-10T19:10:00.000Z,Blizzard World
2021-10-10T19:15:00.000Z,Havana
2021-10-10T19:20:00.000Z,Dorado
2021-10-10T19:25:00.000Z,Hollywood
2021-10-10T19:30:00.000Z,Junkertown
2021-10-12T15:30:00.000Z,Nepal
2021-10-12T15:35:00.000Z,Paris
2021-10-12T15:40:00.000Z,Horizon
2021-10-12T15:45:00.000Z,Anubis
2021-10-12T15:50:00.000Z,Anubis
2021-10-12T15:55:00.000Z,Lijiang Tower
2021-10-12T16:00:00.000Z,Hanamura
2021-10-12T16:05:00.000Z,Route 66
2021-10-12T16:10:00.000Z,Busan
2021-10-12T16:15:00.000Z,Kings Row
2021-10-12T16:20:00.000Z,Ilios
2021-10-12T16:25:00.000Z,Ilios
2021-10-12T16:30:00.000Z,Numbani
2021-10-12T16:35:00.000Z,Watchpoint
2021-10-12T16:40:00.000Z,Rialto
2021-10-12T16:45:00.000Z,Hollywood
2021-10-12T16:50:00.000Z,Hollywood
2021-10-13T18:30:00.000Z,Nepal
2021-10-13T18:35:00.000Z,Horizon
2021-10-13T18:40:00.000Z,Horizon
2021-10-13T18:45:00.000Z,Eichenwalde
2021-10-13T18:50:00.000Z,Anubis
2021-10-13T18:55:00.000Z,Lijiang Tower
2021-10-13T19:00:00.000Z,Lijiang Tower
2021-10-13T19:05:00.000Z,Hanamura
2021-10-13T19:10:00.000Z,Route 66
2021-10-13T19:15:00.000Z,Ilios
2021-10-13T19:20:00.000Z,Numbani
2021-10-13T19:25:00.000Z,Rialto
2021-10-13T19:30:00.000Z,Blizzard World
2021-10-13T19:35:00.000Z,Havana
2021-10-14T17:00:00.000Z,Eichenwalde
2021-10-14T17:05:00.000Z,Anubis
2021-10-14T17:10:00.000Z,Oasis
2021-10-14T17:15:00.000Z,Route 66
2021-10-14T17:20:00.000Z,Busan
2021-10-14T17:25:00.000Z,Kings Row
2021-10-14T17:30:00.000Z,Watchpoint
2021-10-14T17:35:00.000Z,Rialto
2021-10-14T17:40:00.000Z,Blizzard World
2021-10-14T17:45:00.000Z,Dorado
2021-10-14T17:50:00.000Z,Hollywood
2021-10-15T18:30:00.000Z,Nepal
2021-10-15T18:35:00.000Z,Nepal
2021-10-15T18:40:00.000Z,Paris
2021-10-15T18:45:00.000Z,Paris
2021-10-15T18:50:00.000Z,Paris
2021-10-15T18:55:00.000Z,Horizon
2021-10-15T19:00:00.000Z,Horizon
2021-10-15T19:05:00.000Z,Eichenwalde
2021-10-15T19:10:00.000Z,Eichenwalde
2021-10-15T19:15:00.000Z,Volskaya
2021-10-15T19:20:00.000Z,Volskaya
2021-10-15T19:25:00.000Z,Anubis
2021-10-15T19:30:00.000Z,Oasis
2021-10-15T19:35:00.000Z,Lijiang Tower
2021-10-15T19:40:00.000Z,Hanamura
2021-10-15T19:45:00.000Z,Hanamura
2021-10-15T19:50:00.000Z,Route 66
2021-10-15T19:55:00.000Z,Route 66
2021-10-15T20:00:00.000Z,Busan
2021-10-15T20:05:00.000Z,Busan
2021-10-15T20:10:00.000Z,Kings Row
2021-10-15T20:15:00.000Z,Ilios
2021-10-15T20:20:00.000Z,Ilios
2021-10-15T20:25:00.000Z,Numbani
2021-10-15T20:30:00.000Z,Numbani
2021-10-15T20:35:00.000Z,Watchpoint
2021-10-15T20:40:00.000Z,Rialto
2021-10-15T20:45:00.000Z,Rialto
2021-10-15T20:50:00.000Z,Blizzard World
2021-10-15T20:55:00.000Z,Havana
2021-10-15T21:00:00.000Z,Havana
2021-10-15T21:05:00.000Z,Hollywood
2021-10-15T21:10:00.000Z,Junkertown
2021-10-16T17:00:00.000Z,Horizon
2021-10-16T17:05:00.000Z,Eichenwalde
2021-10-16T17:10:00.000Z,Volskaya
2021-10-16T17:15:00.000Z,Anubis
2021-10-16T17:20:00.000Z,Oasis
2021-10-16T17:25:00.000Z,Lijiang Tower
2021-10-16T17:30:00.000Z,Hanamura
2021-10-16T17:35:00.000Z,Busan
2021-10-16T17:40:00.000Z,Ilios
2021-10-16T17:45:00.000Z,Rialto
2021-10-16T17:50:00.000Z,Blizzard World
2021-10-16T17:55:00.000Z,Havana
2021-10-16T18:00:00.000Z,Dorado
2021-10-16T18:05:00.000Z,Junkertown
2021-10-17T17:00:00.000Z,Paris
2021-10-17T17:05:00.000Z,Volskaya
2021-10-17T17:10:00.000Z,Anubis
2021-10-17T17:15:00.000Z,Oasis
2021-10-17T17:20:00.000Z,Route 66
2021-10-17T17:25:00.000Z,Kings Row
2021-10-17T17:30:00.000Z,Kings Row
2021-10-17T17:35:00.000Z,Ilios
2021-10-17T17:40:00.000Z,Numbani
2021-10-17T17:45:00.000Z,Watchpoint
2021-10-17T17:50:00.000Z,Rialto
2021-10-17T17:55:00.000Z,Rialto
2021-10-17T18:00:00.000Z,Hollywood
2021-10-18T20:20:00.000Z,Nepal
2021-10-18T20:25:00.000Z,Horizon
2021-10-18T20:30:00.000Z,Volskaya
2021-10-18T20:35:00.000Z,Volskaya
2021-10-18T20:40:00.000Z,Lijiang Tower
2021-10-18T20:45:00.000Z,Kings Row
2021-10-18T20:50:00.000Z,Ilios
2021-10-18T20:55:00.000Z,Numbani
2021-10-18T21:00:00.000Z,Watchpoint
2021-10-18T21:05:00.000Z,Blizzard World
2021-10-18T21:10:00.000Z,Junkertown
2021-10-19T17:00:00.000Z,Nepal
2021-10-19T17:05:00.000Z,Horizon
2021-10-19T17:10:00.000Z,Horizon
2021-10-19T17:15:00.000Z,Volskaya
2021-10-19T17:20:00.000Z,Anubis
2021-10-19T17:25:00.000Z,Oasis
2021-10-19T17:30:00.000Z,Hanamura
2021-10-19T17:35:00.000Z,Busan
2021-10-19T17:40:00.000Z,Busan
2021-10-19T17:45:00.000Z,Kings Row
2021-10-19T17:50:00.000Z,Kings Row
2021-10-19T17:55:00.000Z,Ilios
2021-10-19T18:00:00.000Z,Numbani
2021-10-19T18:05:00.000Z,Watchpoint
2021-10-19T18:10:00.000Z,Rialto
2021-10-19T18:15:00.000Z,Blizzard World
2021-10-19T18:20:00.000Z,Havana
2021-10-19T18:25:00.000Z,Havana
2021-10-19T18:30:00.000Z,Hollywood
2021-10-19T18:35:00.000Z,Hollywood
2021-10-19T18:40:00.000Z,Junkertown
2021-10-20T17:00:00.000Z,Paris
2021-10-20T17:05:00.000Z,Anubis
2021-10-20T17:10:00.000Z,Oasis
2021-10-20T17:15:00.000Z,Hanamura
2021-10-20T17:20:00.000Z,Route 66
2021-10-20T17:25:00.000Z,Kings Row
2021-10-20T17:30:00.000Z,Watchpoint
2021-10-20T17:35:00.000Z,Dorado
2021-10-20T17:40:00.000Z,Hollywood
2021-10-21T21:22:57.415Z,Nepal
2021-10-21T21:39:19.219Z,Numbani
2021-10-21T21:46:47.887Z,Volskaya
2021-10-21T22:05:41.960Z,Eichenwalde
2021-10-21T22:34:25.079Z,Lijiang Tower
2021-10-21T23:08:03.068Z,Hollywood
2021-10-21T23:15:55.778Z,Horizon
2021-10-22T15:04:53.954Z,Busan
2021-10-22T15:09:34.479Z,Dorado
2021-10-22T15:21:05.904Z,Hanamura
2021-10-22T15:27:42.599Z,Kings Row
2021-10-22T15:41:48.949Z,Oasis